method,k,features,r2,mse
SFS (Fwd),3,"lstat, rm, ptratio",0.6302528487272829,27.114957415580566
SFS (Fwd),4,"lstat, rm, ptratio, b",0.607090417416429,28.813546130796603
SFS (Fwd),5,"lstat, rm, ptratio, b, dis",0.6061078087504291,28.885604541640486
SFS (Fwd),6,"lstat, rm, ptratio, b, dis, nox",0.6271531070459004,27.342273199896088
SFS (Fwd),7,"lstat, rm, ptratio, b, dis, nox, chas",0.632287354788954,26.965759389215616
SFS (Fwd),8,"lstat, rm, ptratio, b, dis, nox, chas, crim",0.6230166483804658,27.645615362718704
SFS (Fwd),9,"lstat, rm, ptratio, b, dis, nox, chas, crim, rad",0.6397958484876056,26.415133140458046
SFS (Fwd),10,"lstat, rm, ptratio, b, dis, nox, chas, crim, rad, tax",0.6522719611720067,25.500212598176418
SFS (Fwd),11,"lstat, rm, ptratio, b, dis, nox, chas, crim, rad, tax, zn",0.6715231799608913,24.088447893940423
SFS (Fwd),12,"lstat, rm, ptratio, b, dis, nox, chas, crim, rad, tax, zn, indus",0.6702228274016814,24.183807666549495
SFS (Fwd),13,"lstat, rm, ptratio, b, dis, nox, chas, crim, rad, tax, zn, indus, age",0.6687594935356316,24.291119474973545
SBS (Bwd),1,lstat,0.5429180422970386,33.51954917268489
SBS (Bwd),2,"lstat, rm",0.5739577415025858,31.243290601783634
SBS (Bwd),3,"lstat, rm, ptratio",0.6302528487272829,27.114957415580566
SBS (Bwd),4,"lstat, rm, ptratio, b",0.607090417416429,28.813546130796603
SBS (Bwd),5,"lstat, rm, ptratio, b, dis",0.6061078087504291,28.885604541640486
SBS (Bwd),6,"lstat, rm, ptratio, b, dis, nox",0.6271531070459004,27.342273199896088
SBS (Bwd),7,"lstat, rm, ptratio, b, dis, nox, chas",0.632287354788954,26.965759389215616
SBS (Bwd),8,"lstat, rm, ptratio, b, dis, nox, chas, crim",0.6230166483804658,27.645615362718704
SBS (Bwd),9,"lstat, rm, ptratio, b, dis, nox, chas, crim, rad",0.6397958484876056,26.415133140458046
SBS (Bwd),10,"lstat, rm, ptratio, b, dis, nox, chas, crim, rad, tax",0.6522719611720067,25.500212598176418
